f	a_05	a_01	a_001
1	1.409	1.414	1.414
2	1.645	1.715	1.730
3	1.757	1.918	1.982
4	1.814	2.051	2.178
5	1.848	2.142	2.329
6	1.870	2.208	2.447
7	1.885	2.256	2.540
8	1.895	2.294	2.616
9	1.903	2.324	2.678
10	1.910	2.348	2.730
11	1.916	2.368	2.774
12	1.920	2.385	2.812
13	1.923	2.399	2.845
14	1.926	2.412	2.874
15	1.928	2.423	2.899
16	1.931	2.432	2.921
17	1.933	2.440	2.941
18	1.935	2.447	2.959
19	1.936	2.454	2.975
20	1.937	2.460	2.990
25	1.942	2.483	3.047
30	1.945	2.498	3.085
35	1.948	2.509	3.113
40	1.949	2.518	3.134
45	1.950	2.524	3.152
50	1.951	2.529	3.166
100	1.956	2.553	3.227
200	1.958	2.564	3.265
300	1.958	2.566	3.271
400	1.959	2.568	3.275
500	1.959	2.570	3.279
600	1.959	2.571	3.281
700	1.959	2.572	3.283
800	1.959	2.573	3.285
1000	1.960	2.576	3.291
